Name,State,Term,Party
"MITCHELL, George Edward",Maryland,18th Congress (1823-1825),Adams-Clay Republican
"LIVINGSTON, Edward",Louisiana,18th Congress (1823-1825),Jackson Republican
"INGHAM, Samuel Delucenna",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"McLANE, Louis",Delaware,18th Congress (1823-1825),Crawford Federalist
"NEWTON, Thomas, Jr.",Virginia,18th Congress (1823-1825),Adams-Clay Republican
"McKEAN, Samuel",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"LONGFELLOW, Stephen",Maine,18th Congress (1823-1825),Adams-Clay Federalist
"BURLEIGH, William",Maine,18th Congress (1823-1825),Adams-Clay Republican
"WILLIAMS, Isaac, Jr.",New York,18th Congress (1823-1825),Adams-Clay Republican
"CRAIG, Hector",New York,18th Congress (1823-1825),Jackson Republican
"GURLEY, Henry Hosford",Louisiana,18th Congress (1823-1825),Adams-Clay Republican
"BRENT, William Leigh",Louisiana,18th Congress (1823-1825),Adams-Clay Republican
"TRIMBLE, David",Kentucky,18th Congress (1823-1825),Adams-Clay Republican
"SPENCE, John Selby",Maryland,18th Congress (1823-1825),Adams-Clay Republican
"WOLF, George",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"KENT, Joseph",Maryland,18th Congress (1823-1825),Adams-Clay Republican
"JENNINGS, Jonathan",Indiana,18th Congress (1823-1825),Jackson Republican
"MILLER, Daniel H.",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"MERCER, Charles Fenton",Virginia,18th Congress (1823-1825),Crawford Republican
"BUCK, Daniel Azro Ashley",Vermont,18th Congress (1823-1825),Adams-Clay Republican
"MOORE, Thomas Patrick",Kentucky,18th Congress (1823-1825),Jackson Republican
"METCALFE, Thomas",Kentucky,18th Congress (1823-1825),Adams-Clay Republican
"LITTLE, Peter",Maryland,18th Congress (1823-1825),Jackson Republican
"JOHNSON, Francis",Kentucky,18th Congress (1823-1825),Adams-Clay Republican
"SIBLEY, Jonas",Massachusetts,18th Congress (1823-1825),Adams-Clay Republican
"LITCHFIELD, Elisha",New York,18th Congress (1823-1825),Crawford Republican
"BARTLETT, Ichabod",New Hampshire,18th Congress (1823-1825),Adams-Clay Republican
"UDREE, Daniel",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"CUSHMAN, Joshua",Maine,18th Congress (1823-1825),Adams-Clay Republican
"CAMPBELL, John Wilson",Ohio,18th Congress (1823-1825),Jackson Republican
"MORGAN, John Jordan",New York,18th Congress (1823-1825),Jackson Republican
"WAYNE, Isaac",Pennsylvania,18th Congress (1823-1825),Jackson Federalist
"VAN RENSSELAER, Stephen, III",New York,18th Congress (1823-1825),Adams-Clay Federalist
"JOHNSON, John Telemachus",Kentucky,18th Congress (1823-1825),Jackson Republican
"THOMPSON, Philip",Kentucky,18th Congress (1823-1825),Adams-Clay Republican
"HOLCOMBE, George",New Jersey,18th Congress (1823-1825),Jackson Republican
"FINDLAY, John",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"BUCKNER, Richard Aylett",Kentucky,18th Congress (1823-1825),Adams-Clay Republican
"LETCHER, Robert Perkins",Kentucky,18th Congress (1823-1825),Adams-Clay Republican
"DURFEE, Job",Rhode Island,18th Congress (1823-1825),Adams-Clay Republican
"DWIGHT, Henry Williams",Massachusetts,18th Congress (1823-1825),Adams-Clay Federalist
"STEWART, Andrew",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"EDDY, Samuel",Rhode Island,18th Congress (1823-1825),Adams-Clay Republican
"ALLISON, James, Jr.",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"BRADLEY, William Czar",Vermont,18th Congress (1823-1825),Adams-Clay Republican
"MITCHELL, James S.",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"PRINCE, William",Indiana,18th Congress (1823-1825),Democrat-Republican
"CONDICT, Lewis",New Jersey,18th Congress (1823-1825),Jackson Republican
"PLUMER, George",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"WHIPPLE, Thomas, Jr.",New Hampshire,18th Congress (1823-1825),Adams-Clay Republican
"LINCOLN, Enoch",Maine,18th Congress (1823-1825),Adams-Clay Republican
"HOBART, Aaron",Massachusetts,18th Congress (1823-1825),Adams-Clay Republican
"WOOD, Silas",New York,18th Congress (1823-1825),Adams-Clay Republican
"COOK, Daniel Pope",Illinois,18th Congress (1823-1825),Adams-Clay Republican
"GARRISON, Daniel",New Jersey,18th Congress (1823-1825),Jackson Republican
"FULLER, Timothy",Massachusetts,18th Congress (1823-1825),Adams-Clay Republican
"RICH, Charles",Vermont,18th Congress (1823-1825),Democrat-Republican
"WILSON, Henry",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"HENRY, Robert Pryor",Kentucky,18th Congress (1823-1825),Jackson Republican
"CLAY, Henry",Kentucky,18th Congress (1823-1825),Adams-Clay Republican
"PLUMER, William, Jr.",New Hampshire,18th Congress (1823-1825),Adams-Clay Republican
"ROSE, Robert Selden",New York,18th Congress (1823-1825),Adams-Clay Republican
"TAYLOR, John W.",New York,18th Congress (1823-1825),Adams-Clay Republican
"LOCKE, John",Massachusetts,18th Congress (1823-1825),Adams-Clay Republican
"LIVERMORE, Arthur",New Hampshire,18th Congress (1823-1825),Adams-Clay Republican
"FOOTE, Charles Augustus",New York,18th Congress (1823-1825),Crawford Republican
"WHITTLESEY, Elisha",Ohio,18th Congress (1823-1825),Adams-Clay Republican
"KIDDER, David",Maine,18th Congress (1823-1825),Adams-Clay Republican
"PATTERSON, Thomas",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"ROSS, Thomas Randolph",Ohio,18th Congress (1823-1825),Crawford Republican
"HARRIS, Robert",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"STORRS, Henry Randolph",New York,18th Congress (1823-1825),Adams-Clay Federalist
"MALLARY, Rollin Carolas",Vermont,18th Congress (1823-1825),Adams-Clay Republican
"TEST, John",Indiana,18th Congress (1823-1825),Jackson Republican
"CROWNINSHIELD, Benjamin Williams",Massachusetts,18th Congress (1823-1825),Adams-Clay Republican
"HARVEY, Matthew",New Hampshire,18th Congress (1823-1825),Adams-Clay Republican
"WILSON, William",Ohio,18th Congress (1823-1825),Crawford Republican
"CASSEDY, George",New Jersey,18th Congress (1823-1825),Jackson Republican
"BARBER, Noyes",Connecticut,18th Congress (1823-1825),Adams-Clay Republican
"RICHARDS, John",New York,18th Congress (1823-1825),Crawford Republican
"MARKLEY, Philip Swenk",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"HOGEBOOM, James Lawrence",New York,18th Congress (1823-1825),Crawford Republican
"ROGERS, Thomas Jones",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"CRAFTS, Samuel Chandler",Vermont,18th Congress (1823-1825),Adams-Clay Republican
"SCOTT, John",Missouri,18th Congress (1823-1825),Adams-Clay Republican
"VANCE, Joseph",Ohio,18th Congress (1823-1825),Adams-Clay Republican
"EDWARDS, Samuel",Pennsylvania,18th Congress (1823-1825),Jackson Federalist
"SWAN, Samuel",New Jersey,18th Congress (1823-1825),Jackson Republican
"TOMLINSON, Gideon",Connecticut,18th Congress (1823-1825),Adams-Clay Republican
"HAYDEN, Moses",New York,18th Congress (1823-1825),Adams-Clay Republican
"BEECHER, Philemon",Ohio,18th Congress (1823-1825),Adams-Clay Republican
"LAWRENCE, Samuel",New York,18th Congress (1823-1825),Adams-Clay Republican
"STEPHENSON, James",Virginia,18th Congress (1823-1825),Crawford Federalist
"THOMSON, Alexander",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"HEMPHILL, Joseph",Pennsylvania,18th Congress (1823-1825),Jackson Federalist
"FARRELLY, Patrick",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"VINTON, Samuel Finley",Ohio,18th Congress (1823-1825),Adams-Clay Republican
"NELSON, Jeremiah",Massachusetts,18th Congress (1823-1825),Adams-Clay Federalist
"MARVIN, Dudley",New York,18th Congress (1823-1825),Adams-Clay Republican
"MATSON, Aaron",New Hampshire,18th Congress (1823-1825),Adams-Clay Republican
"WILSON, James",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"McLEAN, William",Ohio,18th Congress (1823-1825),Adams-Clay Republican
"ALLEN, Samuel Clesson",Massachusetts,18th Congress (1823-1825),Adams-Clay Federalist
"WEBSTER, Daniel",Massachusetts,18th Congress (1823-1825),Adams-Clay Federalist
"REED, John",Massachusetts,18th Congress (1823-1825),Adams-Clay Federalist
"WHITE, David",Kentucky,18th Congress (1823-1825),Adams-Clay Republican
"CLARK, Lot",New York,18th Congress (1823-1825),Crawford Republican
"EATON, Lewis",New York,18th Congress (1823-1825),Crawford Republican
"HERKIMER, John",New York,18th Congress (1823-1825),Adams-Clay Republican
"COLLINS, Ela",New York,18th Congress (1823-1825),Crawford Republican
"BARTLEY, Mordecai",Ohio,18th Congress (1823-1825),Adams-Clay Republican
"LATHROP, Samuel",Massachusetts,18th Congress (1823-1825),Adams-Clay Federalist
"GAZLAY, James William",Ohio,18th Congress (1823-1825),Jackson Republican
"ADAMS, Parmenio",New York,18th Congress (1823-1825),Adams-Clay Republican
"SHARPE, Peter",New York,18th Congress (1823-1825),Adams-Clay Republican
"FOOT, Samuel Augustus",Connecticut,18th Congress (1823-1825),Adams-Clay Republican
"TRACY, Albert Haller",New York,18th Congress (1823-1825),Adams-Clay Republican
"TEN EYCK, Egbert",New York,18th Congress (1823-1825),Crawford Republican
"ELLIS, William Cox",Pennsylvania,18th Congress (1823-1825),Jackson Federalist
"STRONG, James",New York,18th Congress (1823-1825),Adams-Clay Federalist
"TOD, John",Pennsylvania,18th Congress (1823-1825),Democrat-Republican
"FORWARD, Walter",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"PATTERSON, John",Ohio,18th Congress (1823-1825),Adams-Clay Republican
"BAILEY, John",Massachusetts,18th Congress (1823-1825),Adams-Clay Republican
"McARTHUR, Duncan",Ohio,18th Congress (1823-1825),Adams-Clay Republican
"JENKINS, Lemuel",New York,18th Congress (1823-1825),Crawford Republican
"STODDARD, Ebenezer",Connecticut,18th Congress (1823-1825),Adams-Clay Republican
"VAN WYCK, William William",New York,18th Congress (1823-1825),Adams-Clay Republican
"TYSON, Jacob",New York,18th Congress (1823-1825),Crawford Republican
"BROWN, John",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"MARTINDALE, Henry Clinton",New York,18th Congress (1823-1825),Adams-Clay Federalist
"WOODS, William",New York,18th Congress (1823-1825),Adams-Clay Republican
"CADY, John Watts",New York,18th Congress (1823-1825),Adams-Clay Republican
"STERLING, Ansel",Connecticut,18th Congress (1823-1825),Adams-Clay Republican
"WRIGHT, John Crafts",Ohio,18th Congress (1823-1825),Adams-Clay Republican
"WHITMAN, Lemuel",Connecticut,18th Congress (1823-1825),Adams-Clay Republican
"MATLACK, James",New Jersey,18th Congress (1823-1825),Adams-Clay Republican
"SLOANE, John",Ohio,18th Congress (1823-1825),Adams-Clay Republican
"OLIN, Henry",Vermont,18th Congress (1823-1825),Adams-Clay Republican
"WILSON, Isaac",New York,18th Congress (1823-1825),Democrat-Republican
"OUTLAW, George",North Carolina,18th Congress (1823-1825),Crawford Republican
"CALL, Jacob",Indiana,18th Congress (1823-1825),Jackson Republican
"MERIWETHER, James",Georgia,19th Congress (1825-1827),Jacksonian
"CRUMP, George William",Virginia,19th Congress (1825-1827),Jacksonian
"WILSON, John",South Carolina,19th Congress (1825-1827),Jacksonian
"McNEILL, Archibald",North Carolina,19th Congress (1825-1827),Jacksonian
"TREZVANT, James",Virginia,19th Congress (1825-1827),Jacksonian
"GIST, Joseph",South Carolina,19th Congress (1825-1827),Jacksonian
"TUCKER, Starling",South Carolina,19th Congress (1825-1827),Jacksonian
"TATTNALL, Edward Fenwick",Georgia,19th Congress (1825-1827),Jacksonian
"THOMPSON, Wiley",Georgia,19th Congress (1825-1827),Jacksonian
"EDWARDS, Weldon Nathaniel",North Carolina,19th Congress (1825-1827),Jacksonian
"ANGEL, William G.",New York,19th Congress (1825-1827),Adamsite
"ALEXANDER, Mark",Virginia,19th Congress (1825-1827),Jacksonian
"CARY, George",Georgia,19th Congress (1825-1827),Jacksonian
"McCOY, William",Virginia,19th Congress (1825-1827),Jacksonian
"GARNETT, Robert Selden",Virginia,19th Congress (1825-1827),Jacksonian
"HAYNES, Charles Eaton",Georgia,19th Congress (1825-1827),Jacksonian
"SAUNDERS, Romulus Mitchell",North Carolina,19th Congress (1825-1827),Jacksonian
"FLOYD, John",Virginia,19th Congress (1825-1827),Jacksonian
"GOVAN, Andrew Robison",South Carolina,19th Congress (1825-1827),Jacksonian
"CONNOR, Henry William",North Carolina,19th Congress (1825-1827),Jacksonian
"POLK, James Knox",Tennessee,19th Congress (1825-1827),Jacksonian
"LONG, John",North Carolina,19th Congress (1825-1827),Adamsite
"HARVEY, Jonathan",New Hampshire,19th Congress (1825-1827),Jacksonian
"ASHLEY, Henry",New York,19th Congress (1825-1827),Jacksonian
"RIPLEY, James Wheelock",Maine,19th Congress (1825-1827),Jacksonian
"HOFFMAN, Michael",New York,19th Congress (1825-1827),Jacksonian
"DIETZ, William",New York,19th Congress (1825-1827),Jacksonian
"STEVENSON, Andrew",Virginia,19th Congress (1825-1827),Jacksonian
"CLAIBORNE, Nathaniel Herbert",Virginia,19th Congress (1825-1827),Jacksonian
"HAMILTON, James, Jr.",South Carolina,19th Congress (1825-1827),Jacksonian
"HALLOCK, John, Jr.",New York,19th Congress (1825-1827),Jacksonian
"ANDERSON, John",Maine,19th Congress (1825-1827),Jacksonian
"MITCHELL, Thomas Rothmaler",South Carolina,19th Congress (1825-1827),Jacksonian
"HOUSTON, Samuel",Tennessee,19th Congress (1825-1827),Jacksonian
"CARSON, Samuel Price",North Carolina,19th Congress (1825-1827),Jacksonian
"CUTHBERT, Alfred",Georgia,19th Congress (1825-1827),Jacksonian
"BASSETT, Burwell",Virginia,19th Congress (1825-1827),Jacksonian
"RANKIN, Christopher",Mississippi,19th Congress (1825-1827),Jacksonian
"FORSYTH, John",Georgia,19th Congress (1825-1827),Jacksonian
"CAMBRELENG, Churchill Caldom",New York,19th Congress (1825-1827),Jacksonian
"JOHNSON, Joseph",Virginia,19th Congress (1825-1827),Jacksonian
"McDUFFIE, George",South Carolina,19th Congress (1825-1827),Jacksonian
"DAVENPORT, Thomas",Virginia,19th Congress (1825-1827),Jacksonian
"McKEE, John",Alabama,19th Congress (1825-1827),Jacksonian
"TAYLOR, Robert",Virginia,19th Congress (1825-1827),Adamsite
"HINES, Richard",North Carolina,19th Congress (1825-1827),Jacksonian
"RIVES, William Cabell",Virginia,19th Congress (1825-1827),Jacksonian
"CARTER, John",South Carolina,19th Congress (1825-1827),Jacksonian
"MARABLE, John Hartwell",Tennessee,19th Congress (1825-1827),Jacksonian
"OWEN, George Washington",Alabama,19th Congress (1825-1827),Jacksonian
"SMITH, William",Virginia,19th Congress (1825-1827),Jacksonian
"BLAIR, John",Tennessee,19th Congress (1825-1827),Jacksonian
"ALLEN, Robert",Tennessee,19th Congress (1825-1827),Jacksonian
"LECOMPTE, Joseph",Kentucky,19th Congress (1825-1827),Jacksonian
"BOON, Ratliff",Indiana,19th Congress (1825-1827),Jacksonian
"BUCHANAN, James",Pennsylvania,19th Congress (1825-1827),Jacksonian
"WARD, Aaron",New York,19th Congress (1825-1827),Adamsite
"O'BRIEN, Jeremiah",Maine,19th Congress (1825-1827),Adamsite
"COCKE, John",Tennessee,19th Congress (1825-1827),Jacksonian
"JOHNSON, Jeromus",New York,19th Congress (1825-1827),Jacksonian
"ARCHER, William Segar",Virginia,19th Congress (1825-1827),Jacksonian
"HOLMES, Gabriel",North Carolina,19th Congress (1825-1827),Jacksonian
"DRAYTON, William",South Carolina,19th Congress (1825-1827),Jacksonian
"VERPLANCK, Gulian Crommelin",New York,19th Congress (1825-1827),Jacksonian
"KELLOGG, Charles",New York,19th Congress (1825-1827),Jacksonian
"HAILE, William",Mississippi,19th Congress (1825-1827),Jacksonian
"McMANUS, William",New York,19th Congress (1825-1827),Adamsite
"ADDAMS, William",Pennsylvania,19th Congress (1825-1827),Jacksonian
"THOMSON, John",Ohio,19th Congress (1825-1827),Jacksonian
"MITCHELL, James Coffield",Tennessee,19th Congress (1825-1827),Jacksonian
"ALSTON, Willis",North Carolina,19th Congress (1825-1827),Jacksonian
"ISACKS, Jacob C.",Tennessee,19th Congress (1825-1827),Jacksonian
"MOORE, Gabriel",Alabama,19th Congress (1825-1827),Jacksonian
"BRYAN, John Heritage",North Carolina,19th Congress (1825-1827),Jacksonian
"BROWN, Titus",New Hampshire,19th Congress (1825-1827),Adamsite
"BARBOUR, John Strode",Virginia,19th Congress (1825-1827),Jacksonian
"EASTMAN, Nehemiah",New Hampshire,19th Congress (1825-1827),Adamsite
"HEALY, Joseph",New Hampshire,19th Congress (1825-1827),Adamsite
"PETER, George",Maryland,19th Congress (1825-1827),Jacksonian
"ALEXANDER, Adam Rankin",Tennessee,19th Congress (1825-1827),Jacksonian
"BARRINGER, Daniel Laurens",North Carolina,19th Congress (1825-1827),Jacksonian
"HERRICK, Ebenezer",Maine,19th Congress (1825-1827),Adamsite
"TALIAFERRO, John",Virginia,19th Congress (1825-1827),Adamsite
"FINDLAY, James",Ohio,19th Congress (1825-1827),Jacksonian
"WICKLIFFE, Charles Anderson",Kentucky,19th Congress (1825-1827),Jacksonian
"WILLIAMS, Lewis",North Carolina,19th Congress (1825-1827),Adamsite
"STEVENSON, James S.",Pennsylvania,19th Congress (1825-1827),Jacksonian
"KREMER, George",Pennsylvania,19th Congress (1825-1827),Jacksonian
"BAYLIES, Francis",Massachusetts,19th Congress (1825-1827),Jacksonian
"MANGUM, Willie Person",North Carolina,19th Congress (1825-1827),Jacksonian
"WHITMORE, Elias",New York,19th Congress (1825-1827),Adamsite
"SAWYER, Lemuel",North Carolina,19th Congress (1825-1827),Jacksonian
